"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"34300-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","56.22222222222222","72","13000","ATL@MIL","MIL","ATL","GTD","Calf","","",""
"34300-9644","SG","James","James Harden","Harden","58.22207919034091","77","11800","PHO@HOU","HOU","PHO","","","","",""
"34300-55062","C","Nikola","Nikola Jokic","Jokic","46.84177215189873","79","10800","DEN@POR","DEN","POR","O","Rest","","",""
"34300-40203","C","Rudy","Rudy Gobert","Gobert","42.040505711036396","79","10600","UTA@LAL","UTA","LAL","","","","",""
"34300-66113","SG","Donovan","Donovan Mitchell","Mitchell","37.41842169510691","76","9700","UTA@LAL","UTA","LAL","","","","",""
"34300-14514","C","Nikola","Nikola Vucevic","Vucevic","44.913751220703126","80","9700","ORL@BOS","ORL","BOS","","","","",""
"34300-42669","PF","Julius","Julius Randle","Randle","37.702740394905824","73","9200","NO@SAC","NO","SAC","","","","",""
"34300-20848","PG","Damian","Damian Lillard","Lillard","43.555694966376585","79","9200","DEN@POR","POR","DEN","","","","",""
"34300-12362","C","DeMarcus","DeMarcus Cousins","Cousins","37.38214111328125","28","9100","LAC@GS","GS","LAC","","","","",""
"34300-9524","PG","Stephen","Stephen Curry","Curry","44.263233857996326","68","9100","LAC@GS","GS","LAC","","","","",""
"34300-84671","PG","Trae","Trae Young","Young","35.143211082175924","81","9000","ATL@MIL","ATL","MIL","O","Rest","","",""
"34300-9646","SF","Kevin","Kevin Durant","Durant","45.324675324675326","77","9000","LAC@GS","GS","LAC","","","","",""
"34300-14498","PG","Kyrie","Kyrie Irving","Irving","43.72835893773321","67","8900","ORL@BOS","BOS","ORL","","","","",""
"34300-55059","C","Clint","Clint Capela","Capela","38.91538461538462","65","8800","PHO@HOU","HOU","PHO","","","","",""
"34300-15595","SG","Bradley","Bradley Beal","Beal","43.738272207754626","81","8700","WAS@NY","WAS","NY","","","","",""
"34300-9623","PG","Chris","Chris Paul","Paul","37.42857142857143","56","8600","PHO@HOU","HOU","PHO","","","","",""
"34300-84709","C","Mitchell","Mitchell Robinson","Robinson","24.874602787078373","63","8400","WAS@NY","NY","WAS","","","","",""
"34300-19067","SG","CJ","CJ McCollum","McCollum","32.55882352941177","68","8000","DEN@POR","POR","DEN","GTD","Knee","","",""
"34300-12355","PG","Eric","Eric Bledsoe","Bledsoe","33.29740132913961","77","7900","ATL@MIL","MIL","ATL","","","","",""
"34300-9637","SF","Danilo","Danilo Gallinari","Gallinari","32.867165636660445","67","7900","LAC@GS","LAC","GS","GTD","Ankle","","",""
"34300-84673","C","Deandre","Deandre Ayton","Ayton","34.88055419921875","72","7800","PHO@HOU","PHO","HOU","O","Ankle","","",""
"34300-67312","C","Thomas","Thomas Bryant","Bryant","22.859999302455357","70","7800","WAS@NY","WAS","NY","","","","",""
"34300-12351","PF","Derrick","Derrick Favors","Favors","27.71466796875","75","7700","UTA@LAL","UTA","LAL","O","Back","","",""
"34300-66236","PF","John","John Collins","Collins","34.44098200563525","61","7700","ATL@MIL","ATL","MIL","O","Rest","","",""
"34300-23447","PF","Richaun","Richaun Holmes","Holmes","19.574285016741072","70","7700","PHO@HOU","PHO","HOU","GTD","Ankle","","",""
"34300-80809","PF","Josh","Josh Jackson","Jackson","22.746753246753247","77","7600","PHO@HOU","PHO","HOU","","","","",""
"34300-9739","C","JaVale","JaVale McGee","McGee","28.36712395654966","73","7500","UTA@LAL","LAL","UTA","","","","",""
"34300-80810","PG","De'Aaron","De'Aaron Fox","Fox","36.34750061035156","80","7500","NO@SAC","SAC","NO","GTD","Foot","","",""
"34300-63123","SF","Mario","Mario Hezonja","Hezonja","17.473214285714285","56","7400","WAS@NY","NY","WAS","","","","",""
"34300-15755","PF","Anthony","Anthony Davis","Davis","55.23859820449562","57","7400","NO@SAC","NO","SAC","GTD","Back","","",""
"34300-66108","PG","Jamal","Jamal Murray","Murray","32.13424724422089","73","7300","DEN@POR","DEN","POR","O","Rest","","",""
"34300-41594","PF","Aaron","Aaron Gordon","Gordon","32.56578947368421","76","7300","ORL@BOS","ORL","BOS","","","","",""
"34300-14509","SG","Klay","Klay Thompson","Thompson","33.616883116883116","77","7300","LAC@GS","GS","LAC","","","","",""
"34300-9453","C","Al","Al Horford","Horford","32.75820968400186","67","7300","ORL@BOS","BOS","ORL","GTD","Knee","","",""
"34300-14516","C","Enes","Enes Kanter","Kanter","28.66923076923077","65","7200","DEN@POR","POR","DEN","","","","",""
"34300-19138","PG","Elfrid","Elfrid Payton","Payton","29.477499389648436","40","7200","NO@SAC","NO","SAC","","","","",""
"34300-23665","SG","Buddy","Buddy Hield","Hield","32.278750610351565","80","7100","NO@SAC","SAC","NO","","","","",""
"34300-23776","PF","Montrezl","Montrezl Harrell","Harrell","32.38999938964844","80","7100","LAC@GS","LAC","GS","","","","",""
"34300-59318","SF","Joe","Joe Ingles","Ingles","27.513925286787973","79","7100","UTA@LAL","UTA","LAL","","","","",""
"34300-15860","PF","Draymond","Draymond Green","Green","31.40625","64","7100","LAC@GS","GS","LAC","","","","",""
"34300-58377","PF","Kyle","Kyle Kuzma","Kuzma","30.261973206426056","71","7000","UTA@LAL","LAL","UTA","O","Foot","","",""
"34300-63124","PG","Emmanuel","Emmanuel Mudiay","Mudiay","25.359321206302965","59","7000","WAS@NY","NY","WAS","GTD","Shoulder","","",""
"34300-9455","PG","Rajon","Rajon Rondo","Rondo","28.93695599099864","46","7000","UTA@LAL","LAL","UTA","","","","",""
"34300-80808","PF","Jayson","Jayson Tatum","Tatum","30.61392405063291","79","7000","ORL@BOS","BOS","ORL","","","","",""
"34300-9662","SG","Lou","Lou Williams","Williams","31.909587703339042","73","7000","LAC@GS","LAC","GS","","","","",""
"34300-16261","SG","Khris","Khris Middleton","Middleton","33.00657894736842","76","6900","ATL@MIL","MIL","ATL","","","","",""
"34300-42202","PF","Christian","Christian Wood","Wood","13.463158055355674","19","6800","NO@SAC","NO","SAC","","","","",""
"34300-9621","C","Brook","Brook Lopez","Lopez","27.641250610351562","80","6800","ATL@MIL","MIL","ATL","","","","",""
"34300-14496","PG","Ricky","Ricky Rubio","Rubio","27.979411405675553","68","6700","UTA@LAL","UTA","LAL","O","Quadriceps","","",""
"34300-84679","PF","Marvin","Marvin Bagley III","Bagley III","28.214753698130124","61","6700","NO@SAC","SAC","NO","","","","",""
"34300-42550","SF","Jabari","Jabari Parker","Parker","27.190624237060547","64","6600","WAS@NY","WAS","NY","GTD","Knee","","",""
"34300-84680","PG","Shai","Shai Gilgeous-Alexander","Gilgeous-Alexander","22.84938331886574","81","6600","LAC@GS","LAC","GS","","","","",""
"34300-42156","PF","Bobby","Bobby Portis","Portis","27.979166666666668","48","6500","WAS@NY","WAS","NY","","","","",""
"34300-23981","PG","Alex","Alex Caruso","Caruso","17.847826086956523","23","6500","UTA@LAL","LAL","UTA","","","","",""
"34300-9729","PF","Paul","Paul Millsap","Millsap","29.148529052734375","68","6400","DEN@POR","DEN","POR","O","Rest","","",""
"34300-16301","C","Dewayne","Dewayne Dedmon","Dedmon","27.1875","64","6300","ATL@MIL","ATL","MIL","O","Ankle","","",""
"34300-15636","SG","Kentavious","Kentavious Caldwell-Pope","Caldwell-Pope","18.530000305175783","80","6200","UTA@LAL","LAL","UTA","","","","",""
"34300-16359","SG","Malcolm","Malcolm Brogdon","Brogdon","27.189062118530273","64","6200","ATL@MIL","MIL","ATL","O","Foot","","",""
"34300-23096","SG","Evan","Evan Fournier","Fournier","25.50253102749209","79","6000","ORL@BOS","ORL","BOS","","","","",""
"34300-42677","PG","Terry","Terry Rozier","Rozier","20.45584383877841","77","6000","ORL@BOS","BOS","ORL","GTD","Illness","","",""
"34300-80811","SF","Jonathan","Jonathan Isaac","Isaac","23.156756426836992","74","5900","ORL@BOS","ORL","BOS","","","","",""
"34300-12366","SF","Gordon","Gordon Hayward","Hayward","23.90704259738116","71","5800","ORL@BOS","BOS","ORL","","","","",""
"34300-84670","SF","Mikal","Mikal Bridges","Bridges","20.52375030517578","80","5800","PHO@HOU","PHO","HOU","","","","",""
"34300-16405","SG","Terrence","Terrence Ross","Ross","23.93923988825158","79","5700","ORL@BOS","ORL","BOS","","","","",""
"34300-23097","PG","Tomas","Tomas Satoransky","Satoransky","22.442307692307693","78","5600","WAS@NY","WAS","NY","","","","",""
"34300-9561","C","DeAndre","DeAndre Jordan","Jordan","32.846375396286234","69","5600","WAS@NY","NY","WAS","","","","",""
"34300-84674","SF","Kevin","Kevin Knox","Knox","20.61780788473887","73","5500","WAS@NY","NY","WAS","","","","",""
"34300-9466","PG","D.J.","D.J. Augustin","Augustin","22.903797777393198","79","5500","ORL@BOS","ORL","BOS","","","","",""
"34300-23670","SG","Marcus","Marcus Smart","Smart","23.26455727106408","79","5400","ORL@BOS","BOS","ORL","","","","",""
"34300-9448","SG","Jamal","Jamal Crawford","Crawford","14.212903422694053","62","5400","PHO@HOU","PHO","HOU","","","","",""
"34300-55060","SG","Bogdan","Bogdan Bogdanovic","Bogdanovic","26.230435136435688","69","5400","NO@SAC","SAC","NO","","","","",""
"34300-23823","C","Willie","Willie Cauley-Stein","Cauley-Stein","30.205062673061708","79","5300","NO@SAC","SAC","NO","","","","",""
"34300-85305","SF","Kenrich","Kenrich Williams","Williams","17.12272782759233","44","5300","NO@SAC","NO","SAC","","","","",""
"34300-80824","PG","Frank","Frank Jackson","Jackson","12.988524390048669","61","5300","NO@SAC","NO","SAC","O","Concussion","","",""
"34300-23120","SF","TJ","TJ Warren","Warren","29.413954623909884","43","5200","PHO@HOU","PHO","HOU","O","Ankle","","",""
"34300-42661","PF","Noah","Noah Vonleh","Vonleh","23.523529052734375","68","5200","WAS@NY","NY","WAS","O","Ankle","","",""
"34300-12474","PG","Patrick","Patrick Beverley","Beverley","22.394805511870942","77","5200","LAC@GS","LAC","GS","GTD","Hip","","",""
"34300-14522","SF","Nikola","Nikola Mirotic","Mirotic","28.98478367017663","46","5200","ATL@MIL","MIL","ATL","O","Thumb","","",""
"34300-9538","SF","Trevor","Trevor Ariza","Ariza","27.771013785099637","69","5200","WAS@NY","WAS","NY","O","Groin","","",""
"34300-12359","SF","Evan","Evan Turner","Turner","18.363380969410212","71","5100","DEN@POR","POR","DEN","","","","",""
"34300-15590","C","Mason","Mason Plumlee","Plumlee","23.231646187697784","79","5100","DEN@POR","DEN","POR","","","","",""
"34300-17747","SG","Ian","Ian Clark","Clark","10.349999789533944","58","5100","NO@SAC","NO","SAC","","","","",""
"34300-80814","PG","Dennis","Dennis Smith Jr.","Smith Jr.","26.282353419883577","51","5100","WAS@NY","NY","WAS","GTD","Back","","",""
"34300-12342","PF","Al-Farouq","Al-Farouq Aminu","Aminu","23.187342390229432","79","5000","DEN@POR","POR","DEN","","","","",""
"34300-70819","PF","Dragan","Dragan Bender","Bender","12.472726995294744","44","5000","PHO@HOU","PHO","HOU","","","","",""
"34300-70827","C","Ivica","Ivica Zubac","Zubac","19.58947325589364","57","5000","LAC@GS","LAC","GS","","","","",""
"34300-16178","SF","Maurice","Maurice Harkless","Harkless","19.865516399515087","58","5000","DEN@POR","POR","DEN","","","","",""
"34300-9556","SG","Eric","Eric Gordon","Gordon","23.336362896543562","66","5000","PHO@HOU","HOU","PHO","","","","",""
"34300-15814","C","Alex","Alex Len","Len","21.115999348958333","75","5000","ATL@MIL","ATL","MIL","","","","",""
"34300-37931","C","Aron","Aron Baynes","Baynes","14.864000244140625","50","4800","ORL@BOS","BOS","ORL","","","","",""
"34300-15946","SF","Harrison","Harrison Barnes","Barnes","25.404000651041667","75","4800","NO@SAC","SAC","NO","","","","",""
"34300-15993","SG","Pat","Pat Connaughton","Connaughton","17.149152335474046","59","4800","ATL@MIL","MIL","ATL","","","","",""
"34300-49336","SF","DeAndre'","DeAndre' Bembry","Bembry","20.894999694824218","80","4800","ATL@MIL","ATL","MIL","","","","",""
"34300-15800","SF","Jae","Jae Crowder","Crowder","22.6441555270901","77","4800","UTA@LAL","UTA","LAL","GTD","Quadriceps","","",""
"34300-80815","PF","Zach","Zach Collins","Collins","15.633784113703546","74","4700","DEN@POR","POR","DEN","","","","",""
"34300-23572","SF","Taurean","Taurean Prince","Prince","23.09811228626179","53","4600","ATL@MIL","ATL","MIL","","","","",""
"34300-12369","SF","Lance","Lance Stephenson","Stephenson","14.955882352941176","68","4600","UTA@LAL","LAL","UTA","","","","",""
"34300-23676","SG","Damyean","Damyean Dotson","Dotson","19.684286063058035","70","4600","WAS@NY","NY","WAS","","","","",""
"34300-17333","SF","Will","Will Barton","Barton","22.960000610351564","40","4600","DEN@POR","DEN","POR","","","","",""
"34300-9703","PG","George","George Hill","Hill","16.155172413793103","58","4600","ATL@MIL","MIL","ATL","","","","",""
"34300-41083","PF","Luke","Luke Kornet","Kornet","14.955813385719477","43","4500","WAS@NY","NY","WAS","","","","",""
"34300-84668","SF","Troy","Troy Brown Jr.","Brown Jr.","10.94199951171875","50","4500","WAS@NY","WAS","NY","","","","",""
"34300-84704","SG","Kevin","Kevin Huerter","Huerter","19.872602070847602","73","4500","ATL@MIL","ATL","MIL","GTD","Back","","",""
"34300-40262","SG","Sterling","Sterling Brown","Brown","13.255356924874443","56","4500","ATL@MIL","MIL","ATL","","","","",""
"34300-16230","SG","Jordan","Jordan McRae","McRae","11.037037037037036","27","4500","WAS@NY","WAS","NY","GTD","Achilles","","",""
"34300-67026","SG","Jaylen","Jaylen Brown","Brown","22.879167344835068","72","4500","ORL@BOS","BOS","ORL","GTD","Back","","",""
"34300-15904","SF","Rodney","Rodney Hood","Hood","18.82000034877232","70","4400","DEN@POR","POR","DEN","","","","",""
"34300-14512","PF","Marcus","Marcus Morris","Morris","24.93243243243243","74","4400","ORL@BOS","BOS","ORL","","","","",""
"34300-20805","SG","Troy","Troy Daniels","Daniels","10.13265306122449","49","4300","PHO@HOU","PHO","HOU","","","","",""
"34300-16201","PG","Michael","Michael Carter-Williams","Carter-Williams","13.746153611403246","26","4300","ORL@BOS","ORL","BOS","","","","",""
"34300-24544","SF","Gary","Gary Harris","Harris","22.26851851851852","54","4300","DEN@POR","DEN","POR","","","","",""
"34300-15405","PF","JaMychal","JaMychal Green","Green","20.435937881469727","64","4200","LAC@GS","LAC","GS","GTD","Personal","","",""
"34300-58083","C","Jahlil","Jahlil Okafor","Okafor","15.761403937088815","57","4200","NO@SAC","NO","SAC","","","","",""
"34300-85241","PF","Johnathan","Johnathan Williams","Williams","12.236364191228693","22","4200","UTA@LAL","LAL","UTA","","","","",""
"34300-9601","C","Andrew","Andrew Bogut","Bogut","13.577777438693577","9","4200","LAC@GS","GS","LAC","","","","",""
"34300-9648","SF","Jeff","Jeff Green","Green","21.665333658854166","75","4200","WAS@NY","WAS","NY","","","","",""
"34300-80819","PF","Harry","Harry Giles III","Giles III","15.308621110587284","58","4200","NO@SAC","SAC","NO","O","Thigh","","",""
"34300-40396","SG","Monte","Monte Morris","Morris","20.76708829855617","79","4200","DEN@POR","DEN","POR","","","","",""
"34300-58350","SF","Stanley","Stanley Johnson","Johnson","14.960606430516098","66","4200","NO@SAC","NO","SAC","O","Ankle","","",""
"34300-12368","SF","Nemanja","Nemanja Bjelica","Bjelica","22.837333984375","75","4100","NO@SAC","SAC","NO","","","","",""
"34300-15583","PG","Seth","Seth Curry","Curry","11.968055725097656","72","4100","DEN@POR","POR","DEN","GTD","Lower leg","","",""
"34300-84724","PG","Landry","Landry Shamet","Shamet","14.362337979403408","77","4100","LAC@GS","LAC","GS","","","","",""
"34300-15669","PF","Meyers","Meyers Leonard","Leonard","12.306667073567708","60","4100","DEN@POR","POR","DEN","","","","",""
"34300-23407","PF","PJ","PJ Tucker","Tucker","21.589999389648437","80","4100","PHO@HOU","HOU","PHO","","","","",""
"34300-58289","PG","Kadeem","Kadeem Allen","Allen","19.900000678168404","18","4000","WAS@NY","NY","WAS","O","Concussion","","",""
"34300-9664","SG","Andre","Andre Iguodala","Iguodala","19.204476883162314","67","4000","LAC@GS","GS","LAC","GTD","Toe","","",""
"34300-17894","C","Mike","Mike Muscala","Muscala","15.116129229145665","62","4000","UTA@LAL","LAL","UTA","","","","",""
"34300-66091","PF","Cheick","Cheick Diallo","Diallo","14.870967741935484","62","3900","NO@SAC","NO","SAC","","","","",""
